time, %cpu, %memory, fd
2018-12-06 11:19:47 , 93.3,5.0 , 6
2018-12-06 11:19:53 , 93.3,7.8 , 6
2018-12-06 11:19:58 , 100.0,10.4 , 6
2018-12-06 11:20:03 , 100.0,12.9 , 6
2018-12-06 11:20:08 , 93.3,15.6 , 6
2018-12-06 11:20:13 , 93.3,18.2 , 6
2018-12-06 11:20:18 , 25.0,18.9 , 6
2018-12-06 11:20:24 , 100.0,18.9 , 6
2018-12-06 11:20:29 , 100.0,18.9 , 6
2018-12-06 11:20:34 , 100.0,18.9 , 6
2018-12-06 11:20:39 , 100.0,18.9 , 6
2018-12-06 11:20:44 , 100.0,18.9 , 6
2018-12-06 11:20:50 , 100.0,18.9 , 6
2018-12-06 11:20:55 , 93.3,18.9 , 6
2018-12-06 11:21:00 , 23.5,18.9 , 7
2018-12-06 11:21:06 , 100.0,18.9 , 6
2018-12-06 11:21:11 , 93.8,18.9 , 6
2018-12-06 11:21:16 , 100.0,18.9 , 6
2018-12-06 11:21:21 , 100.0,18.9 , 6
2018-12-06 11:21:26 , 93.8,18.9 , 6
2018-12-06 11:21:31 , 100.0,18.9 , 6
2018-12-06 11:21:37 , 100.0,18.9 , 6
2018-12-06 11:21:42 , 13.3,18.9 , 7
2018-12-06 11:21:47 , 22.7,18.9 , 6
2018-12-06 11:21:52 , 25.0,18.9 , 6
2018-12-06 11:21:57 , 93.8,18.9 , 6
2018-12-06 11:22:03 , 93.3,18.9 , 6
2018-12-06 11:22:08 , 100.0,18.9 , 6
2018-12-06 11:22:13 , 100.0,18.9 , 6
2018-12-06 11:22:18 , 100.0,18.9 , 6
2018-12-06 11:22:23 , 100.0,18.9 , 6
2018-12-06 11:22:28 , 20.8,19.3 , 6
2018-12-06 11:22:34 , 306.7,36.2 , 5
2018-12-06 11:22:39 , 126.7,36.7 , 6
2018-12-06 11:22:44 , 106.7,30.4 , 6
2018-12-06 11:22:49 , 46.7,33.2 , 6
2018-12-06 11:22:55 , 40.0,33.3 , 5
2018-12-06 11:23:00 , 13.3,47.7 , 6
2018-12-06 11:23:05 , 381.2,47.7 , 5
2018-12-06 11:23:10 , 106.7,47.7 , 5
2018-12-06 11:23:15 , 26.7,42.6 , 6
2018-12-06 11:23:20 , 26.7,39.3 , 6
2018-12-06 11:23:26 , 25.0,28.4 , 6
2018-12-06 11:23:31 , 375.0,41.8 , 5
2018-12-06 11:23:36 , 46.7,36.7 , 6
2018-12-06 11:23:41 , 400.0,38.7 , 5
2018-12-06 11:23:46 , 386.7,41.9 , 5
2018-12-06 11:23:51 , 26.7,32.4 , 6
2018-12-06 11:23:57 , 380.0,41.8 , 5
2018-12-06 11:24:02 , 31.2,26.1 , 5
2018-12-06 11:24:07 , 53.3,42.8 , 6
2018-12-06 11:24:12 , 25.0,29.2 , 6
2018-12-06 11:24:17 , 381.2,47.6 , 5
2018-12-06 11:24:23 , 386.7,47.6 , 5
2018-12-06 11:24:28 , 47.4,56.1 , 6
2018-12-06 11:24:33 , 8.3,29.6 , 6
2018-12-06 11:24:38 , 393.3,38.4 , 5
2018-12-06 11:24:44 , 100.0,42.4 , 6
2018-12-06 11:24:49 , 33.3,47.7 , 6
2018-12-06 11:24:54 , 62.5,61.2 , 6
2018-12-06 11:24:59 , 26.7,32.1 , 6
2018-12-06 11:25:04 , 56.2,29.1 , 6
2018-12-06 11:25:10 , 393.3,36.8 , 5
2018-12-06 11:25:15 , 33.3,31.3 , 6
2018-12-06 11:25:20 , 25.0,26.1 , 6
2018-12-06 11:25:25 , 26.7,27.4 , 6
2018-12-06 11:25:30 , 73.3,27.5 , 6
2018-12-06 11:25:35 , 160.0,41.8 , 6
2018-12-06 11:25:41 , 100.0,44.8 , 6
2018-12-06 11:25:46 , 46.7,47.3 , 6
