time\t VIRT\t RES\t SHR\t %cpu\t %memory\t TIME+\t fd
2018-12-06 15:52:58 \t 2413496 2.074g 3600 333.3 26.9 1:12.14 , 5
2018-12-06 15:53:00 \t 2346752 2.011g 3600 100.0 26.1 1:18.93 , 5
2018-12-06 15:53:02 \t 3844936 2.989g 3600 46.7 38.8 1:20.04 , 6
2018-12-06 15:53:05 \t 2535060 2.128g 3600 47.1 27.6 1:21.46 , 6
2018-12-06 15:53:07 \t 2589684 2.232g 3600 86.7 29.0 1:27.34 , 5
2018-12-06 15:53:09 \t 2589684 2.232g 3600 33.3 29.0 1:28.30 , 6
2018-12-06 15:53:11 \t 3616256 3.221g 3600 393.3 41.8 1:30.86 , 5
2018-12-06 15:53:13 \t 3616256 3.221g 3600 386.7 41.8 1:39.17 , 5
2018-12-06 15:53:16 \t 3882456 2.247g 3600 53.3 29.2 1:41.56 , 6
2018-12-06 15:53:18 \t 3882456 3.356g 3600 53.3 43.6 1:42.70 , 6
2018-12-06 15:53:20 \t 2897700 2.529g 3600 53.3 32.8 1:44.24 , 6
2018-12-06 15:53:22 \t 3652296 2.999g 3600 386.7 38.9 1:52.17 , 5
2018-12-06 15:53:24 \t 3652296 3.085g 3600 393.3 40.1 2:00.69 , 5
2018-12-06 15:53:26 \t 3739176 3.227g 3600 400.0 41.9 2:09.24 , 5
2018-12-06 15:53:28 \t 3804332 3.319g 3600 120.0 43.1 2:16.19 , 5
2018-12-06 15:53:31 \t 2897760 2.497g 3600 26.7 32.4 2:17.90 , 6
2018-12-06 15:53:33 \t 2986688 2.593g 3600 100.0 33.7 2:18.83 , 6
2018-12-06 15:53:35 \t 3616256 3.221g 3600 13.3 41.8 2:25.16 , 5
2018-12-06 15:53:37 \t 3802952 2.606g 3600 53.3 33.8 2:26.45 , 6
2018-12-06 15:53:39 \t 3802952 3.398g 2684 33.3 44.1 2:27.35 , 6
2018-12-06 15:53:41 \t 2393340 2.042g 2684 386.7 26.5 2:33.12 , 5
2018-12-06 15:53:44 \t 3891524 2.748g 2684 46.7 35.7 2:35.40 , 6
2018-12-06 15:53:46 \t 3891524 3.477g 2684 100.0 45.2 2:36.69 , 6
2018-12-06 15:53:48 \t 3152048 2.704g 2684 393.3 35.1 2:42.49 , 5
2018-12-06 15:53:50 \t 2679616 2.313g 2684 20.0 30.0 2:45.22 , 6
2018-12-06 15:53:52 \t 3086644 2.430g 2684 106.7 31.6 2:46.08 , 6
2018-12-06 15:53:54 \t 4085924 3.668g 2684 20.0 47.6 2:47.23 , 6
2018-12-06 15:53:57 \t 4085924 3.668g 2684 393.3 47.6 2:55.31 , 5
2018-12-06 15:53:59 \t 4085924 3.668g 2684 375.0 47.6 3:03.85 , 5
2018-12-06 15:54:01 \t 4085924 3.668g 2684 53.3 47.6 3:11.00 , 6
2018-12-06 15:54:03 \t 5165156 3.628g 2684 53.3 47.1 3:12.66 , 6
2018-12-06 15:54:05 \t 5165156 4.543g 2684 13.3 59.0 3:13.34 , 6
2018-12-06 15:54:07 \t 2833164 2.448g 2684 400.0 31.8 3:15.83 , 5
2018-12-06 15:54:10 \t 2555984 2.209g 2684 100.0 28.7 3:22.57 , 5
2018-12-06 15:54:12 \t 2346752 2.010g 2684 26.7 26.1 3:23.53 , 6
2018-12-06 15:54:14 \t 3336292 2.954g 2684 33.3 38.4 3:24.57 , 6
2018-12-06 15:54:16 \t 2346752 2.010g 2684 20.0 26.1 3:29.86 , 6
2018-12-06 15:54:18 \t 2346752 2.010g 2684 26.7 26.1 3:30.44 , 6
2018-12-06 15:54:20 \t 4013976 3.575g 2684 100.0 46.4 3:32.04 , 6
2018-12-06 15:54:23 \t 4085924 3.668g 2684 386.7 47.6 3:38.46 , 5
2018-12-06 15:54:25 \t 4085924 3.668g 2684 126.7 47.6 3:45.84 , 6
2018-12-06 15:54:27 \t 5177080 3.594g 2684 40.0 46.7 3:47.50 , 6
2018-12-06 15:54:29 \t 5177080 4.610g 2684 56.2 59.9 3:48.62 , 6
2018-12-06 15:54:31 \t 3079504 2.593g 2684 368.8 33.7 3:52.26 , 5
2018-12-06 15:54:33 \t 2874116 2.475g 2684 26.7 32.1 3:56.16 , 6
2018-12-06 15:54:36 \t 3268020 2.888g 2684 100.0 37.5 3:57.25 , 6
