time, %cpu, %memory, fd
2018-12-06 14:42:15 , 200.0,36.2 , 5
2018-12-06 14:42:20 , 253.3,39.2 , 5
2018-12-06 14:42:26 , 100.0,30.8 , 6
2018-12-06 14:42:31 , 53.3,32.5 , 6
2018-12-06 14:42:36 , 193.3,35.9 , 5
2018-12-06 14:42:41 , 100.0,31.2 , 6
2018-12-06 14:42:46 , 381.2,47.6 , 5
2018-12-06 14:42:51 , 80.0,47.6 , 6
2018-12-06 14:42:57 , 50.0,60.5 , 6
2018-12-06 14:43:02 , 53.3,36.3 , 6
2018-12-06 14:43:07 , 25.0,29.0 , 6
2018-12-06 14:43:12 , 381.2,41.8 , 5
2018-12-06 14:43:17 , 50.0,40.1 , 6
2018-12-06 14:43:22 , 386.7,39.0 , 5
2018-12-06 14:43:28 , 393.3,42.6 , 5
2018-12-06 14:43:33 , 31.2,32.4 , 6
2018-12-06 14:43:38 , 56.2,27.3 , 6
2018-12-06 14:43:43 , 393.3,26.1 , 5
2018-12-06 14:43:48 , 67.4,26.9 , 6
2018-12-06 14:43:54 , 33.3,29.2 , 6
2018-12-06 14:43:59 , 393.3,47.6 , 5
2018-12-06 14:44:04 , 400.0,47.6 , 5
2018-12-06 14:44:09 , 25.0,56.7 , 6
2018-12-06 14:44:15 , 100.0,26.1 , 5
2018-12-06 14:44:20 , 393.3,38.4 , 5
2018-12-06 14:44:25 , 100.0,42.6 , 6
2018-12-06 14:44:30 , 33.3,47.6 , 6
2018-12-06 14:44:35 , 53.3,60.8 , 6
2018-12-06 14:44:41 , 26.7,32.1 , 6
2018-12-06 14:44:46 , 13.3,26.3 , 6
2018-12-06 14:44:51 , 386.7,36.3 , 5
2018-12-06 14:44:56 , 26.7,31.3 , 6
2018-12-06 14:45:01 , 100.0,45.4 , 5
2018-12-06 14:45:06 , 226.7,38.4 , 6
2018-12-06 14:45:12 , 100.0,44.7 , 6
2018-12-06 14:45:17 , 106.7,36.1 , 6
2018-12-06 14:45:22 , 26.7,38.0 , 6
2018-12-06 14:45:27 , 53.3,35.7 , 6
2018-12-06 14:45:32 , 93.3,33.9 , 6
2018-12-06 14:45:37 , 100.0,36.5 , 6
2018-12-06 14:45:42 , 106.7,27.5 , 6
2018-12-06 14:45:48 , 53.3,55.2 , 6
2018-12-06 14:45:53 , 26.7,27.2 , 6
2018-12-06 14:45:58 , 100.0,33.8 , 6
2018-12-06 14:46:03 , 25.0,42.6 , 6
2018-12-06 14:46:08 , 33.3,26.1 , 6
2018-12-06 14:46:13 , 60.0,39.1 , 6
2018-12-06 14:46:19 , 26.7,29.0 , 6
2018-12-06 14:46:24 , 26.7,26.1 , 6
2018-12-06 14:46:29 , 26.7,26.1 , 6
2018-12-06 14:46:34 , 26.7,42.6 , 6
2018-12-06 14:46:39 , 26.7,26.1 , 6
2018-12-06 14:46:44 , 26.7,26.1 , 6
2018-12-06 14:46:50 , 66.7,26.4 , 6
2018-12-06 14:46:55 , 26.7,42.6 , 6
2018-12-06 14:47:00 , 26.7,26.1 , 6
2018-12-06 14:47:05 , 106.7,31.0 , 6
2018-12-06 14:47:10 , 100.0,31.2 , 6
2018-12-06 14:47:15 , 33.3,42.6 , 6
2018-12-06 14:47:21 , 26.7,26.1 , 6
2018-12-06 14:47:26 , 93.3,40.0 , 6
2018-12-06 14:47:31 , 86.7,47.6 , 5
2018-12-06 14:47:36 , 100.0,27.0 , 6
2018-12-06 14:47:41 , 106.7,28.4 , 6
2018-12-06 14:47:46 , 100.0,41.8 , 5
2018-12-06 14:47:52 , 100.0,47.6 , 5
2018-12-06 14:47:57 , 100.0,39.4 , 6
2018-12-06 14:48:02 , 93.3,26.1 , 5
2018-12-06 14:48:07 , 60.0,27.9 , 6
2018-12-06 14:48:12 , 100.0,28.6 , 5
2018-12-06 14:48:17 , 100.0,28.6 , 6
2018-12-06 14:48:22 , , 0
2018-12-06 14:48:28 , , 0
2018-12-06 14:48:33 , , 0
2018-12-06 14:48:38 , , 0
2018-12-06 14:48:43 , , 0
2018-12-06 14:48:48 , , 0
2018-12-06 14:48:54 , , 0
2018-12-06 14:48:59 , , 0
2018-12-06 14:49:04 , , 0
2018-12-06 14:49:09 , , 0
2018-12-06 14:49:14 , , 0
2018-12-06 14:49:19 , , 0
2018-12-06 14:49:25 , , 0
2018-12-06 14:49:30 , , 0
2018-12-06 14:49:35 , , 0
2018-12-06 14:49:40 , , 0
2018-12-06 14:49:45 , , 0
2018-12-06 14:49:50 , , 0
2018-12-06 14:49:56 , , 0
2018-12-06 14:50:01 , , 0
2018-12-06 14:50:06 , , 0
2018-12-06 14:50:11 , , 0
