runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
209.236s : 	374677	4333	2106	0.486037	134215168	1.56912e-05
209.483s : 	374567	376	955	2.53989	134215356	7.11543e-06
209.733s : 	374433	480	1387	2.88958	134191886	1.03359e-05
209.992s : 	374264	566	1448	2.5583	134216177	1.07886e-05
210.234s : 	374245	57	150	2.63158	134215864	1.1176e-06
210.481s : 	374227	164	353	2.15244	134215990	2.63009e-06
210.712s : 	374174	188	409	2.17553	134215543	3.04734e-06
210.87s : 	374109	460	688	1.49565	134216964	5.12603e-06
211.139s : 	373710	1518	2392	1.57576	134215333	1.78221e-05
211.302s : 	373480	1042	4387	4.21017	134213814	3.26867e-05
211.545s : 	373349	559	1256	2.24687	134215258	9.3581e-06
211.79s : 	373096	669	1226	1.83259	134214279	9.13465e-06
212.041s : 	372988	515	1240	2.40777	134206292	9.23951e-06
212.281s : 	372657	680	1437	2.11324	134213251	1.07068e-05
212.41s : 	372651	36	72	2	134163394	5.36659e-07
212.65s : 	372548	481	1057	2.19751	134208227	7.87582e-06
212.779s : 	372496	159	456	2.86792	134206817	3.39774e-06
213.044s : 	372396	413	1081	2.61743	134214577	8.05427e-06
213.318s : 	372315	377	771	2.04509	134214864	5.74452e-06
213.63s : 	371947	3275	8305	2.53588	134216329	6.18777e-05
213.878s : 	371843	426	1097	2.57512	134214536	8.17348e-06
214.082s : 	371290	1068	1281	1.19944	134214737	9.54441e-06
214.322s : 	371229	177	477	2.69492	134112098	3.55673e-06
214.525s : 	371122	600	1242	2.07	134215842	9.25375e-06
214.776s : 	371018	437	981	2.24485	134211973	7.30933e-06
214.922s : 	370988	93	236	2.53763	134213212	1.7584e-06
215.161s : 	370853	502	1420	2.82869	134214714	1.05801e-05
215.406s : 	370838	125	333	2.664	134202241	2.48133e-06
215.649s : 	370687	604	1717	2.84272	134215965	1.27928e-05
215.902s : 	370569	418	1134	2.71292	134213447	8.44923e-06
216.153s : 	370455	449	1070	2.38307	134215165	7.97227e-06
216.4s : 	370333	416	1185	2.84856	134215730	8.82907e-06
216.638s : 	370192	531	1485	2.79661	134204601	1.10652e-05
216.871s : 	370131	204	485	2.37745	134170672	3.6148e-06
217.01s : 	370070	252	609	2.41667	134189967	4.53834e-06
217.286s : 	369836	836	2283	2.73086	134214619	1.70101e-05
217.527s : 	369690	475	1319	2.77684	134215300	9.82749e-06
217.784s : 	369512	482	1582	3.28216	134214564	1.17871e-05
218.041s : 	369334	530	1546	2.91698	134216685	1.15187e-05
218.3s : 	369197	484	1297	2.67975	134216291	9.66351e-06
218.44s : 	369037	473	1420	3.00211	134204396	1.05809e-05
218.713s : 	368878	592	1655	2.79561	134214731	1.2331e-05
218.941s : 	368706	839	2021	2.40882	134206415	1.50589e-05
219.182s : 	368668	206	448	2.17476	134215166	3.33792e-06
219.391s : 	368492	1236	3097	2.50566	134215623	2.30748e-05
219.651s : 	368431	288	723	2.51042	134214249	5.38691e-06
219.909s : 	368165	653	1775	2.71822	134216309	1.32249e-05
220.056s : 	367999	777	1981	2.54955	134201086	1.47614e-05
220.293s : 	367842	813	1823	2.24231	134215096	1.35827e-05
220.447s : 	367271	1124	1233	1.09698	134211302	9.18701e-06
220.595s : 	367156	587	1558	2.65417	134215507	1.16082e-05
220.844s : 	367102	155	456	2.94194	134215809	3.39751e-06
221.119s : 	366867	926	2023	2.18467	134215061	1.50728e-05
221.366s : 	366717	574	1619	2.82056	134213421	1.20629e-05
221.595s : 	366681	176	354	2.01136	134215572	2.63755e-06
221.862s : 	366297	1742	5250	3.01378	134195397	3.91221e-05
222.13s : 	366127	706	1639	2.32153	134216193	1.22116e-05
222.378s : 	366044	435	1025	2.35632	134214683	7.63702e-06
222.64s : 	365907	781	1752	2.24328	134213324	1.30538e-05
222.849s : 	365653	619	1338	2.16155	134216011	9.969e-06
223.103s : 	365536	834	1463	1.7542	134214780	1.09004e-05
223.348s : 	365488	418	630	1.50718	134215704	4.69394e-06
223.595s : 	365352	599	1595	2.66277	134205177	1.18848e-05
223.877s : 	365116	1801	3964	2.201	134216432	2.95344e-05
224.124s : 	365064	348	763	2.19253	134216553	5.68484e-06
224.381s : 	364918	462	1246	2.69697	134215623	9.28357e-06
224.634s : 	364784	410	1127	2.74878	134215219	8.39696e-06
224.877s : 	364659	445	1230	2.76405	134215748	9.16435e-06
225.119s : 	364547	456	1198	2.62719	134214084	8.92604e-06
225.264s : 	364537	72	78	1.08333	134216260	5.81152e-07
225.416s : 	364522	89	119	1.33708	134216409	8.86628e-07
225.654s : 	364370	437	1197	2.73913	134214569	8.91856e-06
225.904s : 	364238	385	1105	2.87013	134216421	8.23297e-06
226.228s : 	363800	3215	9947	3.09393	134215612	7.41121e-05
226.49s : 	363720	470	883	1.87872	134216182	6.57894e-06
226.774s : 	363615	634	1266	1.99685	134216136	9.43255e-06
226.946s : 	363441	637	1625	2.55102	134213797	1.21075e-05
227.217s : 	363289	1210	2378	1.96529	134215000	1.77178e-05
227.468s : 	363220	267	685	2.56554	134214090	5.10379e-06
227.722s : 	363153	341	709	2.07918	134214950	5.28257e-06
227.959s : 	363067	323	1067	3.30341	134215277	7.94991e-06
228.226s : 	363008	235	529	2.25106	134215918	3.94141e-06
228.378s : 	362867	518	1313	2.53475	134215682	9.78276e-06
228.634s : 	362761	327	966	2.95413	134210319	7.19766e-06
228.888s : 	362687	262	610	2.32824	134215756	4.54492e-06
229.135s : 	362451	544	1595	2.93199	134216191	1.18838e-05
229.4s : 	361947	735	906	1.23265	134215922	6.75032e-06
229.656s : 	358508	3838	1622	0.422616	134216050	1.2085e-05
229.888s : 	358479	114	330	2.89474	134215426	2.45873e-06
230.138s : 	358348	824	1792	2.17476	134212470	1.3352e-05
230.394s : 	358299	180	403	2.23889	134216375	3.00261e-06
230.674s : 	358013	991	2012	2.03027	134214369	1.49909e-05
230.942s : 	357783	588	2035	3.46088	134215626	1.51622e-05
231.177s : 	357690	529	1058	2	134196177	7.88398e-06
231.436s : 	357479	545	1497	2.74679	134214679	1.11538e-05
231.49s : 	357466	78	146	1.87179	16626860	8.78097e-06
231.837s : 	357418	204	471	2.30882	134207021	3.5095e-06
232.043s : 	357391	223	370	1.65919	134208559	2.7569e-06
232.289s : 	357210	431	1339	3.10673	134216611	9.97641e-06
232.546s : 	357094	424	975	2.29953	134215620	7.26443e-06
232.683s : 	356941	447	1487	3.32662	134215002	1.10792e-05
232.926s : 	356872	247	588	2.38057	134216397	4.38098e-06
233.185s : 	356838	98	232	2.36735	134216501	1.72855e-06
233.417s : 	356784	292	576	1.9726	134212084	4.29171e-06
233.574s : 	356744	105	242	2.30476	134215195	1.80307e-06
