runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
135.29s : 	90485	842	565	0.671021	134217689	4.20958e-06
135.527s : 	89913	821	477	0.580999	134217726	3.55393e-06
135.754s : 	89357	812	446	0.549261	134217700	3.32296e-06
135.991s : 	88857	751	464	0.617843	134217707	3.45707e-06
136.235s : 	88484	625	421	0.6736	134217709	3.13669e-06
136.5s : 	88118	599	698	1.16528	134217709	5.20051e-06
136.767s : 	87799	586	424	0.723549	134217701	3.15905e-06
136.999s : 	87508	564	154	0.27305	134217596	1.14739e-06
137.243s : 	87259	523	186	0.355641	134217668	1.38581e-06
137.485s : 	86968	513	751	1.46394	134217699	5.59539e-06
137.722s : 	86752	494	115	0.232794	134217583	8.56818e-07
137.956s : 	86568	460	102	0.221739	134217595	7.5996e-07
138.2s : 	86375	448	408	0.910714	134217631	3.03984e-06
138.429s : 	86175	442	513	1.16063	134217649	3.82215e-06
138.667s : 	86003	421	451	1.07126	134217701	3.36021e-06
138.903s : 	85864	403	195	0.483871	134217226	1.45287e-06
139.147s : 	85573	529	743	1.40454	134217655	5.53578e-06
139.389s : 	85446	402	99	0.246269	134217394	7.37609e-07
139.617s : 	85318	370	583	1.57568	134217725	4.34369e-06
139.84s : 	85223	366	169	0.461749	134210282	1.25922e-06
140.102s : 	85131	347	469	1.35159	134217564	3.49433e-06
140.329s : 	85008	346	637	1.84104	134217631	4.74602e-06
140.582s : 	84887	344	655	1.90407	134217700	4.88013e-06
140.823s : 	84791	343	456	1.32945	134217570	3.39747e-06
141.073s : 	84701	334	478	1.43114	134217722	3.56138e-06
141.315s : 	84569	378	597	1.57937	134217718	4.448e-06
141.58s : 	84483	335	516	1.5403	134217548	3.8445e-06
141.803s : 	84390	332	530	1.59639	134217644	3.94881e-06
142.047s : 	84297	318	617	1.94025	134217685	4.59701e-06
142.278s : 	84217	314	528	1.68153	134217703	3.93391e-06
142.532s : 	84148	312	512	1.64103	134217609	3.8147e-06
142.778s : 	84108	312	268	0.858974	134217722	1.99676e-06
142.998s : 	84029	340	413	1.21471	134217701	3.07709e-06
143.231s : 	83958	311	582	1.87138	134217728	4.33624e-06
143.461s : 	83867	317	715	2.25552	134217722	5.32717e-06
143.684s : 	83803	309	491	1.589	134217718	3.65824e-06
143.913s : 	83741	308	526	1.70779	134217723	3.91901e-06
144.142s : 	83677	308	438	1.42208	134217565	3.26336e-06
144.38s : 	83596	308	543	1.76299	134217664	4.04567e-06
144.612s : 	83527	309	506	1.63754	134217708	3.76999e-06
144.846s : 	83454	307	588	1.91531	134217010	4.38097e-06
145.089s : 	83381	307	524	1.70684	134217708	3.9041e-06
145.332s : 	83307	307	711	2.31596	134217607	5.29737e-06
145.565s : 	83237	306	531	1.73529	134215239	3.95633e-06
145.812s : 	83177	302	480	1.5894	134217677	3.57628e-06
146.03s : 	83120	305	556	1.82295	134217720	4.14252e-06
146.341s : 	83089	301	350	1.16279	134217118	2.60772e-06
146.563s : 	83034	300	513	1.71	134217656	3.82215e-06
146.806s : 	82974	300	665	2.21667	134217697	4.95464e-06
147.05s : 	82904	300	612	2.04	134217698	4.55976e-06
147.293s : 	82864	298	444	1.48993	134217705	3.30806e-06
147.522s : 	82821	298	481	1.61409	134217728	3.58373e-06
147.759s : 	82773	297	490	1.64983	134217725	3.65078e-06
147.989s : 	82730	312	444	1.42308	134217698	3.30806e-06
148.243s : 	82679	309	477	1.54369	134217716	3.55393e-06
148.495s : 	82623	298	549	1.84228	134217638	4.09037e-06
148.698s : 	82575	298	469	1.57383	134217635	3.49432e-06
148.955s : 	82524	297	569	1.91582	134217653	4.23938e-06
149.188s : 	82486	297	513	1.72727	134217704	3.82215e-06
149.382s : 	82462	297	155	0.521886	134217522	1.15484e-06
149.616s : 	82100	392	131	0.334184	134217703	9.76026e-07
149.866s : 	82047	296	548	1.85135	134217727	4.08292e-06
150.114s : 	81992	297	608	2.04714	134217722	4.52995e-06
150.363s : 	81945	296	559	1.88851	134217721	4.16488e-06
150.61s : 	81901	293	494	1.68601	134217638	3.68059e-06
150.845s : 	81863	291	498	1.71134	134217477	3.7104e-06
151.099s : 	81622	333	261	0.783784	134217728	1.9446e-06
151.348s : 	81572	291	541	1.85911	134217681	4.03077e-06
151.594s : 	81356	300	293	0.976667	134217721	2.18302e-06
151.822s : 	81295	290	682	2.35172	134217727	5.0813e-06
152.049s : 	81259	286	502	1.75524	134217674	3.74019e-06
152.262s : 	81225	286	452	1.58042	134217708	3.36766e-06
152.513s : 	81190	287	476	1.65854	134217673	3.54648e-06
152.766s : 	81159	286	499	1.74476	134217664	3.71784e-06
