runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
1.59442s : 	999983	10220	10707	1.04765	536865749	1.99435e-05
2.26909s : 	999158	12270	38061	3.10196	268433157	0.000141789
2.81336s : 	999116	6276	11578	1.84481	268433325	4.31318e-05
3.38823s : 	999113	5548	6539	1.17862	268433964	2.43598e-05
3.97428s : 	998618	5038	13589	2.6973	268431217	5.06238e-05
4.5412s : 	998298	4810	11365	2.36279	268431776	4.23385e-05
5.16289s : 	997872	4791	14852	3.09998	268430892	5.5329e-05
5.78874s : 	997690	4739	10401	2.19477	268429621	3.87476e-05
6.45712s : 	997462	4714	11648	2.47094	268432190	4.33927e-05
7.02681s : 	996866	4710	17031	3.61592	268430235	6.34466e-05
7.55821s : 	995882	4670	13980	2.99358	268338457	5.20984e-05
8.16408s : 	995403	4659	10553	2.26508	268421414	3.9315e-05
8.65452s : 	995075	4595	10593	2.30533	268431670	3.94626e-05
9.18858s : 	994753	4575	9531	2.08328	268431219	3.55063e-05
9.74813s : 	994637	4616	5907	1.27968	268431747	2.20056e-05
10.3033s : 	994268	4710	11147	2.36667	268428931	4.15268e-05
10.8374s : 	993914	4587	11070	2.41334	268432911	4.12394e-05
11.3406s : 	993285	4584	12818	2.79625	268427971	4.77521e-05
11.8991s : 	992924	4603	10957	2.3804	268430372	4.08188e-05
12.4308s : 	992191	4581	16205	3.53744	268423995	6.03709e-05
12.9203s : 	991902	4573	11213	2.452	268419730	4.17741e-05
13.4528s : 	991196	4555	15985	3.50933	268432305	5.95495e-05
14.0059s : 	990741	4678	12079	2.58209	268409919	4.50021e-05
14.5045s : 	990356	4568	11645	2.54926	268430324	4.33818e-05
15.0535s : 	989815	4562	12964	2.84174	268431388	4.82954e-05
15.5841s : 	989517	4533	9978	2.20119	268428305	3.71719e-05
16.0534s : 	988593	4533	17920	3.95323	268431367	6.67582e-05
16.5492s : 	988245	4552	11270	2.47583	268431966	4.19846e-05
17.1514s : 	987713	4505	13391	2.97248	268430070	4.98864e-05
17.7506s : 	986818	4550	17904	3.93495	268430858	6.66987e-05
18.2924s : 	986489	4607	10948	2.37638	268422149	4.07865e-05
18.8308s : 	986065	4581	11066	2.41563	268418016	4.12267e-05
19.3612s : 	985672	4527	11960	2.64193	268431031	4.45552e-05
19.9295s : 	985220	4533	11483	2.5332	268433056	4.27779e-05
20.4805s : 	984557	4536	14537	3.20481	268427659	5.41561e-05
21.0587s : 	984083	4542	11769	2.59115	268428740	4.3844e-05
21.6474s : 	983237	4544	17044	3.75088	268431101	6.34949e-05
22.2421s : 	982525	4534	13793	3.04213	268430377	5.13839e-05
22.7723s : 	982005	4526	12399	2.73951	268426748	4.61914e-05
23.3869s : 	981259	4524	14794	3.27011	268429079	5.51133e-05
23.8714s : 	980677	4521	12985	2.87215	268430602	4.83738e-05
24.3759s : 	980212	4702	10678	2.27095	268426825	3.97799e-05
24.968s : 	979442	4659	15033	3.22666	268430410	5.60033e-05
25.5695s : 	978611	4556	15837	3.47608	268430258	5.89986e-05
26.1612s : 	978012	4561	12916	2.83184	268405091	4.81213e-05
26.7014s : 	977599	4570	11323	2.47768	268428180	4.21826e-05
27.206s : 	976817	4952	13786	2.78393	268426774	5.13585e-05
27.6117s : 	975823	4643	15954	3.43614	268433157	5.94338e-05
28.223s : 	975303	4625	12190	2.63568	268429676	4.54123e-05
28.8102s : 	974372	4626	16442	3.55426	268405255	6.12581e-05
29.3579s : 	973555	4617	14408	3.12064	268429543	5.36752e-05
29.9719s : 	973006	4620	10860	2.35065	268423730	4.04584e-05
30.5602s : 	972535	4615	11912	2.58115	268430235	4.43765e-05
31.0622s : 	972028	4741	11121	2.34571	268396841	4.14349e-05
31.566s : 	970894	4660	16309	3.49979	268395410	6.07648e-05
32.1218s : 	970376	4653	9803	2.10681	268424482	3.65205e-05
32.7368s : 	969457	4659	12949	2.77935	268432250	4.82394e-05
33.3253s : 	968448	4958	15434	3.11295	268431848	5.74969e-05
33.9129s : 	967536	4685	14130	3.01601	268431373	5.26392e-05
34.4973s : 	966503	4705	15216	3.23401	268428337	5.66855e-05
35.1364s : 	966022	4684	9640	2.05807	268427881	3.59128e-05
35.6718s : 	965043	5340	15911	2.97959	268431355	5.9274e-05
36.2517s : 	964076	4798	14261	2.97228	268432020	5.3127e-05
36.8527s : 	963345	4708	11783	2.50276	268431346	4.38958e-05
37.3974s : 	962670	4757	12349	2.59596	268429891	4.60046e-05
37.9475s : 	961566	4770	15791	3.31048	268430731	5.88271e-05
38.4755s : 	960955	4779	10459	2.18853	268430656	3.89635e-05
39.0398s : 	960267	4774	11342	2.37579	268427801	4.22534e-05
39.5938s : 	959734	4798	10310	2.14881	268425642	3.84091e-05
40.2078s : 	959094	4764	12086	2.53694	268430126	4.50248e-05
40.7591s : 	958527	4793	10861	2.26601	268401269	4.04655e-05
41.2967s : 	957959	4790	10777	2.2499	268431336	4.01481e-05
41.8924s : 	957418	4796	10219	2.13073	268412449	3.8072e-05
42.4694s : 	956889	4795	9933	2.07153	268431012	3.70039e-05
42.9893s : 	956228	4813	10870	2.25847	268433849	4.04941e-05
43.5156s : 	955478	4819	12753	2.6464	268432990	4.75091e-05
44.0275s : 	954773	4902	12245	2.49796	268423853	4.56182e-05
44.5861s : 	953969	4846	12760	2.6331	268426576	4.75363e-05
45.1453s : 	953306	4852	10935	2.25371	268400955	4.07413e-05
45.7281s : 	952762	4867	9865	2.02692	268430905	3.67506e-05
46.2966s : 	951745	5114	14317	2.79957	268429514	5.33362e-05
46.8615s : 	950243	4963	17221	3.46988	268431706	6.41541e-05
47.3969s : 	949413	4897	12611	2.57525	268431140	4.69804e-05
47.9879s : 	948652	5048	11809	2.33934	268429150	4.3993e-05
48.5503s : 	948085	4918	10498	2.13461	268428609	3.91091e-05
49.1283s : 	947315	5642	11623	2.06009	268408312	4.33034e-05
49.6912s : 	946387	5015	12701	2.5326	268430400	4.73158e-05
50.2731s : 	945344	5639	14448	2.56216	268432728	5.38235e-05
50.8629s : 	944599	4967	10755	2.16529	268422025	4.00675e-05
51.4271s : 	943871	4959	11221	2.26275	268432139	4.1802e-05
52.0042s : 	943176	4963	11050	2.22648	268415798	4.11675e-05
52.546s : 	941765	4925	16997	3.45117	268429222	6.33202e-05
53.1166s : 	940936	4924	11792	2.3948	268427604	4.39299e-05
53.6487s : 	939960	4927	13474	2.73473	268427231	5.01961e-05
54.2852s : 	939375	4941	9428	1.90812	268432442	3.51224e-05
54.8858s : 	937689	6057	19160	3.16328	268425176	7.13793e-05
55.4842s : 	936919	4946	11704	2.36636	268430660	4.36016e-05
56.0987s : 	935724	5054	14406	2.85042	268431978	5.36672e-05
56.6674s : 	934815	5136	12540	2.44159	268429067	4.67162e-05
57.1878s : 	933957	5000	11848	2.3696	268427500	4.41385e-05
57.805s : 	932987	4969	13263	2.66915	268430470	4.94094e-05
58.3357s : 	931833	4965	15358	3.09325	268433110	5.72135e-05
58.8904s : 	930617	4970	14700	2.95775	268430268	5.47628e-05
59.5312s : 	929858	4986	10485	2.10289	268430613	3.90604e-05
60.1134s : 	928709	4995	14058	2.81441	268429610	5.23713e-05
60.7151s : 	927517	4998	14623	2.92577	268432089	5.44756e-05
61.2163s : 	926310	5008	14575	2.91034	268431049	5.4297e-05
61.7626s : 	925031	5017	15215	3.03269	268432862	5.66808e-05
62.3398s : 	924026	5016	12378	2.4677	268431333	4.61124e-05
62.8724s : 	923136	5013	11576	2.3092	268428711	4.3125e-05
63.4147s : 	922253	5025	11087	2.20637	268431737	4.13029e-05
