runtime 	  walksum  	 nwalks  	  total_edges  
433.75s : 	2445084	225954	0
435.683s : 	2358880	189506	0
435.688s : 	2315328	94251	0
435.694s : 	2238353	178234	0
435.699s : 	2166626	170173	0
435.705s : 	2091314	175538	0
437.661s : 	2025653	164119	0
438.962s : 	1963629	154314	0
438.968s : 	1901124	158526	0
440.949s : 	1840810	155077	0
442.36s : 	1786936	145142	0
442.38s : 	1763313	24030	0
444.281s : 	1712039	139557	0
446.206s : 	1665803	124409	0
447.317s : 	1624176	114589	0
449.275s : 	1581209	115469	0
451.225s : 	1540011	110952	0
452.85s : 	1501062	104211	0
454.79s : 	1462823	99560	0
455.856s : 	1424811	101045	0
455.86s : 	1387587	98115	0
457.792s : 	1349446	99299	0
459.705s : 	1311190	100352	0
459.707s : 	1295707	40801	0
461.656s : 	1258773	95519	0
463.573s : 	1222500	93102	0
465.104s : 	1204313	44732	0
467.197s : 	1168595	93553	0
469.13s : 	1134496	88605	0
469.136s : 	1100517	87318	0
469.143s : 	1067712	84295	0
471.09s : 	1034335	85447	0
473.06s : 	1003855	78790	0
473.067s : 	974827	75925	0
473.07s : 	944719	77368	0
473.072s : 	918250	65950	0
474.956s : 	888517	76112	0
474.96s : 	859635	73564	0
474.964s : 	831056	73037	0
476.88s : 	806028	62427	0
478.823s : 	783294	55452	0
478.827s : 	760899	56406	0
480.771s : 	737637	57488	0
482.187s : 	715675	52919	0
483.399s : 	713472	4899	0
485.308s : 	692231	51160	0
487.227s : 	671319	50461	0
489.163s : 	652119	46312	0
490.258s : 	633244	46942	0
492.212s : 	614417	44933	0
493.842s : 	595776	44605	0
495.755s : 	577312	44145	0
497.327s : 	563136	33793	0
497.329s : 	545486	42105	0
498.426s : 	527909	41792	0
500.377s : 	510497	41166	0
500.383s : 	494370	38292	0
502.277s : 	478952	36358	0
504.167s : 	463768	35722	0
505.334s : 	448536	35907	0
507.031s : 	434389	33396	0
507.032s : 	420346	32570	0
507.033s : 	417529	5955	0
507.034s : 	403749	32071	0
507.034s : 	403500	556	0
508.987s : 	390094	30837	0
511.309s : 	376682	31069	0
511.311s : 	364182	28610	0
511.312s : 	352101	27423	0
511.313s : 	340157	27472	0
512.398s : 	338677	2539	0
514.033s : 	326988	26436	0
514.035s : 	315489	25975	0
514.036s : 	304471	24641	0
515.961s : 	293924	23609	0
515.964s : 	283975	22129	0
517.083s : 	275241	19793	0
519.062s : 	266143	20387	0
520.571s : 	257266	19627	0
521.674s : 	248220	19991	0
523.631s : 	239429	19436	0
525.588s : 	230967	18787	0
526.683s : 	228789	4020	0
528.684s : 	220674	17841	0
529.832s : 	213207	16876	0
531.79s : 	205530	16814	0
532.97s : 	200807	10110	0
532.971s : 	198117	5133	0
534.611s : 	190454	16770	0
536.544s : 	182863	16369	0
537.603s : 	176049	14872	0
538.721s : 	169271	14733	0
538.722s : 	162589	14467	0
540.706s : 	156536	13112	0
542.686s : 	150483	13063	0
544.65s : 	144568	12682	0
545.73s : 	142837	3061	0
545.731s : 	137616	11229	0
545.731s : 	136105	2379	0
545.731s : 	130975	10950	0
547.576s : 	126065	10411	0
547.581s : 	125724	527	0
547.583s : 	120774	10591	0
547.588s : 	116194	9734	0
547.593s : 	111717	9460	0
547.597s : 	107158	9529	0
549.522s : 	103002	8726	0
549.526s : 	102503	758	0
549.53s : 	98363	8353	0
551.506s : 	94444	7893	0
551.507s : 	90721	7475	0
553.43s : 	87006	7381	0
554.514s : 	83748	6527	0
556.207s : 	80590	6485	0
557.302s : 	77310	6463	0
558.694s : 	73979	6534	0
560.658s : 	70975	5862	0
562.592s : 	67964	5867	0
564.534s : 	65137	5466	0
566.258s : 	62566	5042	0
568.086s : 	59956	4927	0
569.658s : 	57335	4865	0
571.682s : 	54840	4666	0
571.682s : 	53940	1373	0
573.522s : 	51427	4552	0
575.424s : 	49103	4085	0
575.429s : 	46857	3932	0
577.39s : 	44606	3857	0
579.33s : 	42576	3469	0
580.414s : 	40543	3442	0
582.253s : 	38558	3309	0
583.442s : 	38313	361	0
583.442s : 	36451	3118	0
583.442s : 	34650	3096	0
584.594s : 	34277	532	0
586.519s : 	32532	2951	0
586.523s : 	30791	2784	0
586.528s : 	29169	2634	0
586.528s : 	27631	2434	0
586.529s : 	27518	169	0
586.529s : 	26021	2373	0
588.49s : 	24511	2333	0
590.184s : 	23657	1333	0
591.252s : 	22494	1814	0
593.132s : 	21098	2124	0
593.138s : 	19726	2136	0
593.142s : 	18441	1972	0
595.058s : 	17176	1927	0
596.987s : 	15973	1823	0
598.998s : 	14978	1466	0
600.366s : 	14079	1319	0
602.218s : 	13243	1221	0
603.735s : 	12396	1232	0
605.238s : 	11648	1097	0
606.342s : 	10945	1061	0
608.178s : 	10223	1043	0
609.99s : 	9573	912	0
609.99s : 	9041	743	0
611.968s : 	8530	698	0
613.927s : 	8182	457	0
613.927s : 	7549	912	0
615.858s : 	7029	709	0
617.786s : 	6597	586	0
619.606s : 	6167	577	0
619.623s : 	6133	37	0
620.744s : 	5556	583	0
622.287s : 	5069	494	0
622.287s : 	4607	472	0
622.287s : 	4167	448	0
622.287s : 	3740	429	0
622.287s : 	3362	378	0
622.287s : 	3040	323	0
622.287s : 	2726	315	0
624.254s : 	2429	298	0
626.181s : 	2172	260	0
627.376s : 	1931	242	0
629.357s : 	1691	243	0
629.358s : 	1457	235	0
629.358s : 	1262	196	0
631.275s : 	1080	182	0
633.238s : 	906	174	0
635.173s : 	767	141	0
636.293s : 	657	110	0
637.9s : 	595	104	0
639.482s : 	550	99	0
641.357s : 	515	92	0
642.856s : 	486	73	0
644.247s : 	477	64	0
645.854s : 	471	30	0
647.782s : 	458	68	0
649.761s : 	449	23	0
651.646s : 	431	56	0
651.647s : 	413	52	0
651.647s : 	402	53	0
652.753s : 	402	5	0
653.977s : 	391	45	0
655.735s : 	391	25	0
657.67s : 	391	20	0
657.671s : 	390	23	0
659.66s : 	389	22	0
661.661s : 	388	24	0
663.558s : 	386	24	0
665.486s : 	386	24	0
667.434s : 	384	23	0
669.36s : 	384	19	0
670.526s : 	384	19	0
670.526s : 	384	26	0
671.722s : 	383	24	0
674.403s : 	383	25	0
674.403s : 	383	25	0
675.841s : 	382	21	0
677.012s : 	382	21	0
678.933s : 	381	16	0
680.663s : 	379	27	0
682.609s : 	379	27	0
682.609s : 	378	27	0
684.388s : 	376	27	0
684.389s : 	376	16	0
684.389s : 	375	28	0
684.389s : 	374	29	0
684.389s : 	372	28	0
686.317s : 	372	25	0
686.318s : 	369	24	0
688.246s : 	367	23	0
689.364s : 	366	23	0
691.332s : 	365	21	0
691.333s : 	364	21	0
