runtime 	  walksum  	 nwalks  	  total_edges  
467.869s : 	1575130	113043	0
469.778s : 	1535354	105780	0
471.656s : 	1495833	105521	0
473.554s : 	1456319	102667	0
473.564s : 	1418423	97589	0
473.575s : 	1379827	96562	0
473.584s : 	1341654	96680	0
473.593s : 	1304741	90972	0
473.599s : 	1268415	90406	0
473.606s : 	1233576	84570	0
473.609s : 	1199526	84851	0
473.614s : 	1166017	80643	0
473.616s : 	1133776	79372	0
473.619s : 	1100586	80017	0
475.516s : 	1068240	77580	0
477.4s : 	1037108	74810	0
479.267s : 	1007359	71977	0
481.133s : 	977989	70862	0
483.055s : 	949200	68745	0
484.926s : 	921264	65634	0
486.813s : 	894234	63626	0
486.831s : 	838526	63391	0
488.711s : 	811114	62129	0
490.601s : 	784495	60388	0
492.448s : 	758511	58987	0
494.404s : 	733529	56054	0
496.276s : 	709482	53215	0
498.099s : 	685688	52761	0
499.952s : 	662468	51067	0
501.813s : 	640130	48711	0
503.669s : 	618483	47185	0
505.582s : 	597662	44991	0
507.5s : 	577516	43676	0
509.392s : 	557139	44127	0
511.299s : 	537862	41415	0
513.197s : 	519625	38902	0
513.2s : 	501195	39340	0
513.202s : 	483595	37276	0
513.203s : 	466112	37122	0
513.205s : 	449866	34478	0
513.206s : 	433669	34493	0
513.208s : 	418288	32190	0
513.209s : 	402941	32320	0
513.21s : 	388607	29802	0
513.211s : 	374457	29698	0
515.033s : 	360962	27918	0
515.036s : 	347744	27658	0
516.921s : 	334709	26961	0
518.786s : 	322143	26195	0
520.71s : 	309929	25279	0
522.588s : 	298233	24131	0
524.484s : 	287063	23113	0
526.363s : 	276425	22117	0
528.251s : 	265945	21816	0
530.167s : 	255965	20537	0
532.051s : 	246409	19751	0
533.915s : 	237267	18968	0
535.841s : 	228498	18109	0
537.749s : 	219775	17549	0
540.344s : 	211085	16630	0
542.244s : 	202410	16310	0
544.161s : 	193732	15408	0
546.074s : 	185077	14732	0
548.008s : 	176499	14083	0
550.487s : 	168091	13635	0
552.399s : 	159926	13268	0
554.303s : 	151901	12319	0
554.308s : 	143884	11764	0
554.312s : 	135901	11546	0
554.317s : 	127919	11575	0
554.321s : 	119951	10335	0
554.323s : 	111997	10230	0
554.327s : 	104827	9379	0
554.332s : 	97754	9236	0
554.338s : 	91740	8218	0
554.34s : 	85732	8233	0
554.341s : 	80453	7484	0
556.239s : 	75397	7284	0
558.177s : 	71103	6536	0
560.055s : 	66816	6545	0
561.975s : 	62783	6260	0
564.664s : 	59143	5895	0
566.599s : 	55875	5547	0
568.539s : 	52850	5295	0
570.463s : 	50211	4928	0
572.384s : 	47852	4630	0
574.321s : 	45873	4259	0
576.223s : 	44120	4058	0
578.143s : 	42590	3832	0
580.067s : 	41275	3638	0
581.962s : 	40252	3333	0
583.803s : 	39414	3129	0
585.685s : 	38638	3037	0
587.586s : 	38016	2912	0
589.487s : 	37528	2757	0
591.409s : 	37054	2644	0
593.303s : 	36646	2524	0
595.21s : 	36224	2534	0
595.215s : 	35920	2337	0
595.217s : 	35565	2400	0
595.222s : 	35291	2229	0
595.226s : 	35004	2275	0
595.228s : 	34736	2204	0
595.231s : 	34448	2239	0
595.231s : 	34205	2104	0
595.231s : 	33931	2155	0
595.231s : 	33638	2224	0
597.087s : 	33334	2243	0
597.087s : 	33060	2168	0
598.971s : 	32807	2059	0
600.856s : 	32552	2099	0
602.774s : 	32302	2096	0
604.676s : 	32040	2104	0
606.559s : 	31747	2156	0
608.423s : 	31456	2158	0
610.307s : 	31198	2089	0
612.187s : 	30959	2007	0
614.049s : 	30705	2054	0
615.903s : 	30463	2053	0
617.776s : 	30199	2072	0
619.655s : 	29961	2025	0
621.579s : 	29752	1966	0
623.466s : 	29558	1950	0
625.325s : 	29356	1952	0
627.239s : 	29123	1962	0
627.243s : 	28974	1775	0
629.139s : 	28830	1815	0
631.066s : 	28680	1877	0
633.037s : 	28519	1844	0
634.977s : 	28373	1874	0
634.979s : 	28219	1880	0
634.984s : 	28050	1846	0
634.988s : 	27902	1801	0
634.989s : 	27752	1765	0
634.99s : 	27593	1793	0
634.99s : 	27437	1798	0
634.99s : 	27288	1696	0
634.99s : 	27152	1715	0
636.906s : 	27005	1734	0
636.907s : 	26853	1771	0
638.803s : 	26709	1726	0
640.649s : 	26572	1733	0
642.543s : 	26549	1677	0
644.431s : 	26528	1622	0
646.311s : 	26510	1672	0
648.224s : 	26360	1781	0
650.097s : 	26337	1651	0
651.987s : 	26314	1689	0
653.831s : 	26181	1758	0
655.679s : 	26054	1708	0
657.576s : 	25917	1703	0
659.477s : 	25789	1720	0
