13.5395s : 	3557971798	83506985	0
25.486s : 	3552485602	90431554	0
35.4813s : 	3542935462	52979652	0
47.9628s : 	3535353038	44479027	0
49.1935s : 	3527067173	36358177	0
65.6178s : 	3521813496	35366649	0
75.8276s : 	3517205101	36750740	0
88.7238s : 	3511721157	35759362	0
103.727s : 	3505991561	36081524	0
119.415s : 	3500337748	36363595	0
134.166s : 	3491447808	36552183	0
143.521s : 	3485238582	36819516	0
147.279s : 	3475604462	37309862	0
151.096s : 	3468760010	37591424	0
154.985s : 	3459804232	37783894	0
158.797s : 	3450348243	37893566	0
162.615s : 	3443656936	38221317	0
166.683s : 	3433379579	38481224	0
170.474s : 	3426840683	38570383	0
174.45s : 	3418529831	40971090	0
180.062s : 	3412759654	33767054	0
188.372s : 	3404927926	40227787	0
194.959s : 	3397756495	38140576	0
197.827s : 	3390973685	41191674	0
201.718s : 	3382804133	37446301	0
205.767s : 	3375003509	41936049	0
209.974s : 	3367724312	39936776	0
215.292s : 	3359819580	42422442	0
224.648s : 	3351806937	43449736	0
232.232s : 	3343731279	43719346	0
236.469s : 	3335695579	43634786	0
240.722s : 	3328131576	44048851	0
244.797s : 	3320237308	44595408	0
249.235s : 	3311946639	43246560	0
253.74s : 	3299581219	43378996	0
261.94s : 	3287399913	43717758	0
272.244s : 	3275074605	43676687	0
277.086s : 	3263106836	43666991	0
281.313s : 	3251862076	43711336	0
285.528s : 	3239418013	44068351	0
296.272s : 	3226738862	44216811	0
300.904s : 	3213554755	44473923	0
305.548s : 	3200579763	44552640	0
309.884s : 	3187204563	44785544	0
314.076s : 	3174603818	44914286	0
318.538s : 	3161128845	45152063	0
327.801s : 	3148069523	45505956	0
337.53s : 	3134511906	45676051	0
341.797s : 	3121856824	43888852	0
346.292s : 	3107891881	45870009	0
350.65s : 	3094000169	46213898	0
354.353s : 	3085270116	29926823	0
358.672s : 	3074302129	38994362	0
363.41s : 	3060118403	46934648	0
367.826s : 	3047241110	46772098	0
377.182s : 	3032789217	47078829	0
386.282s : 	3018776105	41720319	0
390.449s : 	3006247955	40150648	0
392.109s : 	2990920829	47613215	0
396.267s : 	2978806351	41075998	0
397.873s : 	2962024118	47693777	0
402.286s : 	2947935311	47688168	0
407.472s : 	2933349796	47913190	0
411.891s : 	2917946847	47927007	0
416.251s : 	2902502177	48192788	0
420.861s : 	2887073108	48359025	0
433.748s : 	2871374858	48212133	0
444.503s : 	2856437264	47122903	0
449.137s : 	2841315111	47327625	0
453.687s : 	2825850505	47209427	0
460.051s : 	2810293137	47396244	0
466.434s : 	2796415179	42609696	0
471.39s : 	2780945137	47848772	0
476.333s : 	2765115920	47709544	0
481.211s : 	2750234294	47683188	0
487.616s : 	2744427701	47742542	0
497.216s : 	2728342658	48074889	0
501.676s : 	2712606715	46718137	0
507.831s : 	2703658394	44695928	0
512.197s : 	2689727665	43072190	0
513.737s : 	2676114691	42576242	0
521.669s : 	2663883762	37437436	0
526.042s : 	2649362105	44263573	0
527.561s : 	2636180699	41189707	0
531.733s : 	2626723884	39614779	0
535.977s : 	2616899104	39475109	0
540.274s : 	2607384770	39298548	0
544.569s : 	2597662961	38905163	0
548.678s : 	2588563407	38383532	0
554.166s : 	2579255671	38401236	0
556.099s : 	2566927077	39226466	0
570.385s : 	2553774250	38864514	0
574.404s : 	2540892859	39150034	0
575.912s : 	2528685422	38592721	0
577.214s : 	2516443346	38763145	0
585.686s : 	2503477764	38588969	0
589.984s : 	2489370335	39059149	0
596.598s : 	2476035284	39225305	0
600.505s : 	2462676254	39141217	0
604.596s : 	2452767884	38845879	0
610.989s : 	2439234277	38960445	0
614.992s : 	2429373964	38927084	0
