8388595	7702	0.000918151
8388592	13522	0.00161195
8388531	17560	0.00209333
8388596	16648	0.0019846
8388608	25498	0.0030396
8388417	35371	0.00421665
8388593	61133	0.00728763
8388590	137138	0.0163482
1366854	55633	0.0407015
8388593	37935	0.00452221
8388590	43443	0.00517882
8388417	42277	0.00503993
8388608	44326	0.00528407
8388531	49527	0.00590413
8388592	58954	0.00702788
8388595	58160	0.00693322
8388596	57103	0.00680722
8388590	55883	0.00666179
8388593	56198	0.00669934
8388417	43442	0.00517881
8388608	42921	0.00511658
8388531	43483	0.00518363
8388592	42774	0.00509907
8388595	35224	0.00419903
1366854	29534	0.0216073
8388590	53391	0.00636472
8388593	32870	0.00391842
8388596	33563	0.00400103
8388417	25489	0.00303859
8388608	23002	0.00274205
8388531	21176	0.0025244
8388592	18085	0.0021559
8388595	13280	0.0015831
8388590	16056	0.00191403
8388593	10310	0.00122905
1366854	8538	0.00624646
8388596	7222	0.000860931
8388417	5655	0.000674144
8388608	4590	0.000547171
8388531	3636	0.000433449
8388590	3996	0.000476361
8388592	2410	0.000287295
8388593	1707	0.000203491
8388595	1532	0.000182629
8388596	562	6.69957e-05
1366854	481	0.000351903
8388417	392	4.67311e-05
8388608	258	3.0756e-05
8388531	165	1.96697e-05
8388590	156	1.85967e-05
8388592	46	5.48364e-06
8388593	35	4.17233e-06
8388595	4	4.76838e-07
8388596	2	2.38419e-07
8388417	1	1.19212e-07
1366854	1	7.31607e-07
