runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.137264s : 	1000000	3277	4171	1.27281	33554371	0.000124306
0.217272s : 	999993	1405	2024	1.44057	33554249	6.03202e-05
0.284319s : 	999972	1413	2641	1.86907	33554366	7.87081e-05
0.348603s : 	999963	1361	2695	1.98016	33554414	8.03173e-05
0.412667s : 	999902	1239	3206	2.58757	33554401	9.55463e-05
0.479312s : 	999883	1216	2175	1.78865	33554429	6.48201e-05
0.540698s : 	999770	560	2277	4.06607	33554416	6.78599e-05
0.594517s : 	999737	1036	1473	1.42181	33554376	4.38989e-05
0.65987s : 	999706	989	1361	1.37614	33553952	4.05615e-05
0.730182s : 	999653	937	2731	2.91462	33554423	8.13902e-05
0.791429s : 	999527	917	3278	3.5747	33554414	9.76921e-05
0.863205s : 	999400	911	3182	3.49287	33554425	9.4831e-05
0.925065s : 	999341	911	2393	2.62678	33554420	7.1317e-05
1.0031s : 	999263	906	2030	2.24062	33554424	6.04987e-05
1.07533s : 	999075	898	3460	3.85301	33554432	0.000103116
1.14282s : 	999055	896	1468	1.63839	33553421	4.37511e-05
1.22796s : 	999037	891	1181	1.32548	33554409	3.51966e-05
1.29511s : 	998898	1001	2580	2.57742	33554373	7.68901e-05
1.34795s : 	998893	817	875	1.07099	33554424	2.6077e-05
1.4095s : 	998708	882	3134	3.55329	33554432	9.34005e-05
1.47094s : 	998620	881	2293	2.60272	33554430	6.83367e-05
1.53566s : 	998579	878	2041	2.3246	33554412	6.08266e-05
1.60614s : 	998537	876	1463	1.67009	33554392	4.36008e-05
1.67156s : 	998387	843	3137	3.72123	33554410	9.34899e-05
1.74595s : 	998281	842	2418	2.87173	33554426	7.2062e-05
1.80028s : 	997712	603	113	0.187396	33554401	3.36767e-06
1.86447s : 	996927	830	145	0.174699	33554422	4.32134e-06
1.94046s : 	996140	830	170	0.204819	33554370	5.0664e-06
1.99885s : 	995359	828	119	0.14372	33554406	3.54648e-06
2.062s : 	994577	827	166	0.200726	33554425	4.94719e-06
2.1312s : 	993802	826	72	0.0871671	33554425	2.14577e-06
2.19566s : 	993030	825	108	0.130909	33554389	3.21866e-06
2.27003s : 	992365	822	335	0.407543	33554427	9.98378e-06
2.33841s : 	991671	809	651	0.804697	33554404	1.94013e-05
2.40815s : 	991011	806	397	0.492556	33554388	1.18315e-05
2.46616s : 	990522	649	254	0.391371	33554428	7.56979e-06
2.51651s : 	989879	804	254	0.31592	33554430	7.56979e-06
2.5803s : 	989231	795	471	0.592453	33554431	1.40369e-05
2.64452s : 	988617	774	256	0.330749	33554423	7.6294e-06
2.7001s : 	987997	774	322	0.416021	33554423	9.59635e-06
2.75829s : 	987391	764	288	0.376963	33554430	8.58307e-06
2.80564s : 	986790	757	323	0.426684	33554393	9.62616e-06
2.85619s : 	986319	579	709	1.22453	33554369	2.11299e-05
2.92472s : 	985722	756	234	0.309524	33554430	6.97374e-06
2.98516s : 	985127	748	425	0.568182	33554428	1.2666e-05
3.04309s : 	984730	745	967	1.29799	33554381	2.88189e-05
3.11532s : 	984321	737	994	1.34871	33554364	2.96236e-05
3.18213s : 	983883	734	1631	2.22207	33554412	4.86076e-05
3.24741s : 	983510	725	723	0.997241	33554428	2.15471e-05
3.3264s : 	983081	723	1370	1.89488	33554412	4.08292e-05
3.38511s : 	982660	721	1148	1.59223	33554417	3.42131e-05
3.44809s : 	982291	720	728	1.01111	33554398	2.16961e-05
3.50057s : 	981920	719	701	0.974965	33554412	2.08914e-05
3.55688s : 	981527	718	947	1.31894	33554367	2.82229e-05
3.61411s : 	981116	716	849	1.18575	33554361	2.53022e-05
3.6701s : 	980764	640	1078	1.68438	33554214	3.21271e-05
3.74145s : 	980436	716	1012	1.41341	33554355	3.016e-05
3.80483s : 	980135	713	622	0.87237	33554423	1.8537e-05
3.86181s : 	979829	712	580	0.814607	33554422	1.72854e-05
3.93701s : 	979529	709	468	0.660085	33554400	1.39475e-05
3.9916s : 	978934	946	524	0.553911	33554408	1.56164e-05
4.04758s : 	978933	81	27	0.333333	33554379	8.04664e-07
4.09817s : 	978397	705	879	1.24681	33554429	2.61962e-05
4.16616s : 	977942	702	460	0.655271	33554426	1.37091e-05
4.23043s : 	977492	701	467	0.666191	33554419	1.39177e-05
4.28228s : 	977009	701	709	1.01141	33554376	2.11299e-05
4.35318s : 	976516	700	674	0.962857	33554366	2.00868e-05
4.41985s : 	976058	700	645	0.921429	33554420	1.92225e-05
4.47124s : 	975598	701	498	0.710414	33554418	1.48416e-05
4.54123s : 	975118	699	683	0.97711	33554409	2.0355e-05
4.59898s : 	974609	696	674	0.968391	33554376	2.00868e-05
4.66057s : 	974186	694	279	0.402017	33554396	8.31486e-06
4.72348s : 	973761	689	366	0.531205	33554420	1.09077e-05
4.78744s : 	973340	688	421	0.611919	33554430	1.25468e-05
4.83993s : 	972875	666	962	1.44444	33554371	2.86699e-05
4.90592s : 	972456	688	531	0.771802	33554391	1.58251e-05
4.97377s : 	972026	685	607	0.886131	33554422	1.809e-05
5.0367s : 	971575	682	768	1.1261	33554399	2.28882e-05
5.09851s : 	971118	680	837	1.23088	33554403	2.49446e-05
5.15602s : 	970702	666	591	0.887387	33554413	1.76132e-05
5.21658s : 	970285	679	521	0.767305	33553028	1.55277e-05
5.2855s : 	969846	679	803	1.18262	33554425	2.39313e-05
5.35204s : 	969431	676	517	0.764793	33554417	1.54078e-05
5.42577s : 	968958	675	1018	1.50815	33553908	3.03392e-05
5.48595s : 	968530	673	703	1.04458	33554418	2.0951e-05
5.53812s : 	968356	404	611	1.51238	33554407	1.82092e-05
5.58642s : 	967943	672	889	1.32292	33554419	2.64943e-05
5.64706s : 	967562	671	640	0.9538	33554397	1.90735e-05
5.6999s : 	967151	669	806	1.20478	33554065	2.40209e-05
5.75536s : 	966780	668	457	0.684132	33551897	1.36207e-05
5.81072s : 	966361	668	864	1.29341	33554409	2.57492e-05
5.88336s : 	965894	667	1113	1.66867	33554429	3.317e-05
5.93696s : 	965805	351	279	0.794872	33554361	8.31487e-06
6.0041s : 	965434	666	812	1.21922	33554428	2.41995e-05
6.0659s : 	965036	665	874	1.31429	33554325	2.60473e-05
6.12473s : 	964670	667	876	1.31334	33554423	2.61068e-05
6.17577s : 	964258	664	995	1.49849	33554415	2.96533e-05
6.24351s : 	963892	663	826	1.24585	33554398	2.46167e-05
6.29188s : 	963647	480	824	1.71667	33554372	2.45572e-05
6.35082s : 	963267	684	1334	1.95029	33554421	3.97563e-05
6.41429s : 	962919	662	908	1.3716	33554400	2.70605e-05
6.48473s : 	962615	661	733	1.10893	33554388	2.18451e-05
6.54334s : 	962304	661	730	1.10439	33554425	2.17557e-05
6.6062s : 	962018	623	596	0.956661	33554393	1.77622e-05
6.66055s : 	961715	660	945	1.43182	33554407	2.81632e-05
6.72086s : 	961398	659	849	1.28832	33554385	2.53022e-05
6.7985s : 	961082	656	849	1.29421	33554380	2.53022e-05
6.85552s : 	960785	655	707	1.07939	33554424	2.10702e-05
6.91407s : 	960467	655	869	1.32672	33554431	2.58982e-05
6.97178s : 	960195	598	741	1.23913	33554421	2.20835e-05
7.03993s : 	959903	652	673	1.03221	33554424	2.0057e-05
7.102s : 	959296	653	119	0.182236	33554403	3.54648e-06
7.16852s : 	958782	556	132	0.23741	33554424	3.93391e-06
7.23125s : 	958216	652	281	0.430982	33554430	8.37445e-06
7.287s : 	957652	651	302	0.463902	33554137	9.00038e-06
7.35656s : 	957092	651	448	0.688172	33554367	1.33515e-05
7.42537s : 	956550	651	331	0.508449	33554431	9.86457e-06
7.49213s : 	956007	650	248	0.381538	33554420	7.39098e-06
7.56315s : 	955452	648	431	0.665123	33554427	1.28448e-05
7.6213s : 	954934	648	298	0.459877	33554428	8.88109e-06
7.6959s : 	954403	647	534	0.825348	33554173	1.59146e-05
7.76131s : 	953884	646	206	0.318885	33554420	6.13928e-06
7.80987s : 	953385	626	277	0.442492	33554226	8.25529e-06
7.87403s : 	952881	644	274	0.425466	33554359	8.16585e-06
7.94233s : 	952369	644	331	0.513975	33554337	9.8646e-06
8.00096s : 	951854	640	324	0.50625	33554423	9.65596e-06
8.06043s : 	951339	639	400	0.625978	33554423	1.19209e-05
8.11918s : 	951032	420	127	0.302381	33554407	3.7849e-06
8.1795s : 	950542	639	551	0.862285	33554409	1.64211e-05
8.2523s : 	950057	639	514	0.804382	33554329	1.53184e-05
8.31419s : 	949561	637	616	0.967033	33554358	1.83583e-05
8.37569s : 	949075	637	487	0.764521	33554391	1.45137e-05
8.44304s : 	948729	456	350	0.767544	33554335	1.04308e-05
8.50311s : 	948315	636	565	0.888365	33554428	1.68383e-05
8.55806s : 	947888	636	669	1.05189	33554361	1.99378e-05
8.62089s : 	947488	636	401	0.630503	33553476	1.19511e-05
8.66691s : 	947470	637	893	1.40188	33554249	2.66136e-05
8.72737s : 	947417	600	1240	2.06667	33554424	3.69549e-05
8.76623s : 	947363	641	1162	1.81279	33554366	3.46304e-05
8.81644s : 	947110	638	2120	3.32288	33554420	6.31809e-05
8.8887s : 	946946	637	1815	2.84929	33554412	5.40912e-05
8.95601s : 	946814	638	1642	2.57367	33554424	4.89354e-05
9.02277s : 	946572	636	2131	3.35063	33554422	6.35088e-05
9.09789s : 	946501	636	1443	2.26887	33554341	4.30049e-05
9.15876s : 	946292	585	1837	3.14017	33554412	5.47469e-05
9.23545s : 	946209	637	1284	2.0157	33554363	3.82663e-05
9.29336s : 	946131	562	1204	2.14235	33554402	3.5882e-05
9.35186s : 	945984	733	1135	1.54843	33554270	3.38258e-05
9.41777s : 	945886	608	958	1.57566	33554401	2.85507e-05
9.48436s : 	945807	636	1037	1.6305	33554228	3.09052e-05
9.53342s : 	945637	595	1363	2.29076	33554000	4.06211e-05
9.59249s : 	945433	699	1299	1.85837	33554304	3.87134e-05
9.65163s : 	945248	636	1363	2.14308	33554238	4.06208e-05
9.71049s : 	944945	336	54	0.160714	33554363	1.60933e-06
9.77621s : 	944767	643	1291	2.00778	33554370	3.84749e-05
9.83688s : 	944576	651	1557	2.39171	33554424	4.64022e-05
9.9058s : 	944487	636	1011	1.58962	33554427	3.01302e-05
9.96018s : 	944236	647	1674	2.58733	33554093	4.98896e-05
10.0117s : 	943766	548	130	0.237226	33554430	3.8743e-06
10.0708s : 	943653	645	968	1.50078	33554424	2.88487e-05
10.1392s : 	943607	637	1143	1.79435	33554371	3.40641e-05
10.2104s : 	943569	636	426	0.669811	33554232	1.26959e-05
10.2723s : 	943228	966	2230	2.30849	33554419	6.64592e-05
10.3293s : 	942913	415	176	0.424096	33554390	5.24522e-06
10.3968s : 	942856	635	783	1.23307	33554401	2.33352e-05
10.4519s : 	942779	635	1157	1.82205	33554363	3.44814e-05
10.5042s : 	942507	371	175	0.471698	33554431	5.21541e-06
10.5725s : 	942415	635	1241	1.95433	33554349	3.69848e-05
10.6305s : 	942278	642	1417	2.20717	33554365	4.223e-05
10.6957s : 	942155	636	1294	2.03459	33554432	3.85642e-05
10.7691s : 	942054	673	1099	1.63299	33554325	3.27529e-05
10.8296s : 	941948	638	1240	1.94357	33554423	3.69549e-05
10.8939s : 	941820	637	1350	2.11931	33554426	4.02331e-05
10.9641s : 	941742	656	989	1.50762	33554410	2.94745e-05
11.019s : 	941660	644	996	1.54658	33554408	2.96831e-05
11.074s : 	941531	701	1280	1.82596	33554403	3.8147e-05
11.1448s : 	941441	633	1159	1.83096	33554421	3.45409e-05
11.2011s : 	941050	513	333	0.649123	33554429	9.92417e-06
11.2635s : 	940959	633	1177	1.8594	33554336	3.50774e-05
11.3265s : 	940581	518	221	0.426641	33554432	6.58631e-06
11.3854s : 	940494	640	1194	1.86563	33554431	3.5584e-05
11.4504s : 	940348	633	1446	2.28436	33554421	4.30942e-05
11.4983s : 	940029	447	299	0.668904	33554362	8.91091e-06
11.5495s : 	939716	444	263	0.592342	33554431	7.83801e-06
11.6145s : 	939346	504	295	0.585317	33554430	8.79169e-06
11.6688s : 	939221	632	1251	1.97943	33554393	3.72827e-05
11.7213s : 	938820	562	396	0.704626	33554407	1.18017e-05
11.8027s : 	938771	632	723	1.14399	33554429	2.15471e-05
11.8511s : 	938390	509	307	0.603143	33554428	9.14931e-06
11.907s : 	938338	611	892	1.4599	33554240	2.65838e-05
11.9766s : 	938221	667	1303	1.95352	33554429	3.88324e-05
12.0344s : 	937965	338	286	0.846154	33554337	8.52349e-06
12.0918s : 	937679	405	323	0.797531	33554417	9.62615e-06
