runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
153.747s : 	554512	947	1943	2.05174	67106011	2.89542e-05
153.841s : 	554139	944	2365	2.5053	67108797	3.52413e-05
153.961s : 	553850	943	2017	2.13892	67104201	3.00577e-05
154.081s : 	553552	943	1797	1.90562	67108507	2.67775e-05
154.212s : 	553323	943	1619	1.71686	67108611	2.41251e-05
154.353s : 	553135	940	1672	1.77872	67108772	2.49148e-05
154.469s : 	552863	939	1852	1.97231	67108748	2.7597e-05
154.558s : 	552494	940	2207	2.34787	67108830	3.28869e-05
154.671s : 	552196	938	1928	2.05544	67108481	2.87296e-05
154.781s : 	551925	938	1766	1.88273	67108623	2.63155e-05
154.919s : 	551673	936	1804	1.92735	67108473	2.68819e-05
155.052s : 	551269	940	2475	2.63298	67108654	3.68805e-05
155.166s : 	550948	936	2101	2.24466	67108799	3.13074e-05
155.289s : 	550635	936	1843	1.96902	67108492	2.7463e-05
155.42s : 	550307	935	2098	2.24385	67108739	3.12627e-05
155.555s : 	550016	935	2051	2.19358	67108750	3.05623e-05
155.674s : 	549749	935	1797	1.92193	67108385	2.67776e-05
155.786s : 	549445	936	2130	2.27564	67107979	3.17399e-05
155.922s : 	549218	936	1791	1.91346	67108762	2.6688e-05
156.046s : 	548919	934	2160	2.31263	67108347	3.21868e-05
