runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
770.844s : 	41959	229	330	1.44105	268435446	1.22935e-06
771.317s : 	41831	229	370	1.61572	268435387	1.37836e-06
771.802s : 	41713	231	290	1.25541	268435440	1.08033e-06
772.291s : 	41590	229	394	1.72052	268435451	1.46776e-06
772.79s : 	41500	176	323	1.83523	268435447	1.20327e-06
773.274s : 	41386	227	300	1.32159	268435454	1.11759e-06
773.755s : 	41270	228	299	1.3114	268435423	1.11386e-06
774.234s : 	41190	175	306	1.74857	268435402	1.13994e-06
774.748s : 	41054	229	332	1.44978	268435428	1.2368e-06
775.256s : 	40957	181	317	1.75138	268434513	1.18092e-06
775.719s : 	40804	228	386	1.69298	268435369	1.43796e-06
776.206s : 	40707	227	350	1.54185	268435433	1.30385e-06
776.692s : 	40557	226	403	1.78319	268435441	1.50129e-06
777.176s : 	40466	169	300	1.77515	268435445	1.11759e-06
777.655s : 	40359	224	283	1.26339	268435167	1.05426e-06
778.134s : 	40264	222	353	1.59009	268435399	1.31503e-06
778.622s : 	40129	219	365	1.66667	268435427	1.35973e-06
779.101s : 	40005	218	334	1.53211	268435435	1.24425e-06
779.585s : 	39927	153	255	1.66667	268435444	9.49949e-07
780.03s : 	39866	138	243	1.76087	268435428	9.05246e-07
780.519s : 	39737	217	355	1.63594	268435428	1.32248e-06
781s : 	39621	216	343	1.58796	268435414	1.27777e-06
781.462s : 	39528	200	315	1.575	268435428	1.17347e-06
781.927s : 	39423	215	312	1.45116	268435435	1.16229e-06
782.397s : 	39320	215	286	1.33023	268435446	1.06543e-06
782.9s : 	39191	213	331	1.55399	268435452	1.23307e-06
783.37s : 	39085	212	299	1.41038	268435396	1.11386e-06
783.85s : 	39000	178	275	1.54494	268435401	1.02446e-06
784.331s : 	38917	210	349	1.6619	268435439	1.30013e-06
784.816s : 	38796	209	323	1.54545	268435399	1.20327e-06
785.3s : 	38699	209	372	1.7799	268435206	1.38581e-06
785.681s : 	38590	207	267	1.28986	268435442	9.94653e-07
786.167s : 	38462	207	336	1.62319	268435161	1.2517e-06
786.641s : 	38326	205	339	1.65366	268435438	1.26287e-06
787.121s : 	38231	205	344	1.67805	268435389	1.2815e-06
787.613s : 	38129	205	291	1.41951	268435420	1.08406e-06
788.091s : 	38002	205	345	1.68293	268435406	1.28523e-06
788.581s : 	37873	204	324	1.58824	268435447	1.20699e-06
789.076s : 	37744	204	328	1.60784	268435454	1.2219e-06
789.559s : 	37614	204	309	1.51471	268435402	1.15111e-06
790.033s : 	37482	204	317	1.55392	268435353	1.18092e-06
790.55s : 	37406	151	271	1.7947	268435425	1.00955e-06
791.018s : 	37349	139	210	1.51079	268435413	7.82311e-07
791.508s : 	37276	167	260	1.55689	268432640	9.68586e-07
791.986s : 	37175	185	268	1.44865	268435442	9.98378e-07
792.464s : 	37051	206	360	1.74757	268435440	1.3411e-06
792.941s : 	36936	204	343	1.68137	268435456	1.27777e-06
793.422s : 	36851	204	339	1.66176	268435426	1.26287e-06
793.908s : 	36758	204	354	1.73529	268435451	1.31875e-06
794.409s : 	36689	158	250	1.58228	268435456	9.31323e-07
794.879s : 	36578	203	281	1.38424	268435447	1.04681e-06
795.396s : 	36501	153	247	1.61438	268435456	9.20147e-07
795.889s : 	36380	203	340	1.67488	268435440	1.2666e-06
796.375s : 	36289	191	323	1.6911	268435438	1.20327e-06
796.871s : 	36157	202	296	1.46535	268435452	1.10269e-06
797.368s : 	36038	202	336	1.66337	268435375	1.2517e-06
797.859s : 	35946	202	289	1.43069	268435317	1.07661e-06
798.339s : 	35851	200	278	1.39	268435437	1.03563e-06
798.84s : 	35755	199	329	1.65327	268434863	1.22562e-06
799.332s : 	35708	199	267	1.34171	268435407	9.94653e-07
799.845s : 	35573	200	321	1.605	268435446	1.19582e-06
800.327s : 	35446	200	328	1.64	268435438	1.2219e-06
800.833s : 	35314	200	356	1.78	268434331	1.32621e-06
801.117s : 	35206	199	301	1.51256	268435387	1.12131e-06
801.6s : 	35102	198	295	1.4899	268435368	1.09896e-06
802.104s : 	34983	198	295	1.4899	268435440	1.09896e-06
802.576s : 	34871	197	291	1.47716	268435310	1.08406e-06
803.068s : 	34776	196	268	1.36735	268435421	9.98378e-07
803.563s : 	34662	197	269	1.36548	268434944	1.00211e-06
804.051s : 	34522	197	339	1.72081	268435447	1.26287e-06
804.527s : 	34417	196	265	1.35204	268434103	9.87207e-07
805.038s : 	34287	196	299	1.52551	268435361	1.11386e-06
805.527s : 	34153	196	331	1.68878	268435437	1.23307e-06
805.799s : 	34058	194	255	1.31443	268435448	9.49949e-07
806.286s : 	33933	194	294	1.51546	268435449	1.09524e-06
806.775s : 	33809	194	301	1.55155	268435443	1.12131e-06
807.249s : 	33692	194	289	1.48969	268435453	1.07661e-06
807.538s : 	33596	193	257	1.33161	268435454	9.574e-07
808.048s : 	33476	193	282	1.46114	268435455	1.05053e-06
808.522s : 	33362	192	257	1.33854	268435431	9.574e-07
808.895s : 	33243	191	275	1.43979	268435450	1.02445e-06
809.369s : 	33118	189	309	1.63492	268435447	1.15111e-06
809.659s : 	33009	188	253	1.34574	268435421	9.42499e-07
810.158s : 	32887	188	343	1.82447	268435443	1.27777e-06
810.66s : 	32778	188	243	1.29255	268435387	9.05246e-07
